,wonum,targstartdate,targcompdate,schedstartdate
0,H13807098,01/12/0001,09/03/0002,4/10/0002
1,H13807108,01/12/0001,09/03/0002,6/2/0002
2,H13807113,01/12/0001,09/03/0002,5/6/0002
3,H13807118,01/12/0001,09/03/0002,3/4/0002
4,H13807123,01/12/0001,09/03/0002,25/6/0001
5,H13807128,01/12/0001,09/03/0002,25/8/0001
6,H13807133,01/12/0001,09/03/0002,4/13/0002
7,H13807138,01/12/0001,09/03/0002,2/10/0002
8,H13807143,01/12/0001,09/03/0002,24/13/0001
9,H13807148,01/12/0001,09/03/0002,24/8/0001
10,H13807153,01/12/0001,09/03/0002,4/1/0002
11,H13807158,01/12/0001,09/03/0002,2/3/0002
12,H13807163,01/12/0001,09/03/0002,2/14/0002
13,H13807168,01/12/0001,09/03/0002,24/14/0001
14,H13807173,01/12/0001,09/03/0002,25/4/0001
15,H13807178,01/12/0001,09/03/0002,6/7/0002
16,H13807183,01/12/0001,09/03/0002,2/5/0002
17,H13807188,01/12/0001,09/03/0002,4/1/0002
18,H13807193,01/12/0001,09/03/0002,24/6/0001
19,H13807198,01/12/0001,09/03/0002,5/2/0002
20,H13807203,01/12/0001,09/03/0002,3/2/0002
21,H13807208,01/12/0001,09/03/0002,24/8/0001
22,H13807213,01/12/0001,09/03/0002,3/3/0002
23,H13807218,01/12/0001,09/03/0002,3/6/0002
24,H13807223,01/12/0001,09/03/0002,4/5/0002
25,H13807228,01/12/0001,09/03/0002,24/14/0001
26,H13807233,01/12/0001,09/03/0002,5/10/0002
27,H13819926,01/02/0002,22/03/0002,4/1/0002
28,H13819931,01/02/0002,22/03/0002,7/4/0002
29,H13819936,01/02/0002,22/03/0002,6/3/0002
30,H13819941,01/02/0002,22/03/0002,4/2/0002
31,H13819946,01/02/0002,22/03/0002,5/5/0002
32,H13819951,01/02/0002,22/03/0002,6/4/0002
33,H13819956,01/02/0002,22/03/0002,5/4/0002
34,H13819961,01/02/0002,22/03/0002,6/4/0002
35,H13819966,01/02/0002,22/03/0002,4/5/0002
36,H13819971,01/02/0002,22/03/0002,6/6/0002
37,H13819976,01/02/0002,22/03/0002,4/5/0002
38,H13819981,01/02/0002,22/03/0002,7/5/0002
39,H13819986,01/02/0002,22/03/0002,6/7/0002
40,H13819991,01/02/0002,22/03/0002,4/11/0002
41,H13819996,01/02/0002,22/03/0002,6/8/0002
42,H13820001,01/02/0002,22/03/0002,5/11/0002
43,H13820006,01/02/0002,22/03/0002,6/1/0002
44,H13820011,01/02/0002,22/03/0002,6/1/0002
45,H13820021,01/02/0002,22/03/0002,6/14/0002
46,H13820026,01/02/0002,22/03/0002,5/12/0002
47,H13820031,01/02/0002,22/03/0002,4/2/0002
48,H13820036,01/02/0002,22/03/0002,6/13/0002
49,H13820041,01/02/0002,22/03/0002,6/9/0002
50,H13820046,01/02/0002,22/03/0002,4/1/0002
51,H13820051,01/02/0002,22/03/0002,4/15/0002
52,H13820056,01/02/0002,22/03/0002,4/11/0002
53,H13820061,01/02/0002,22/03/0002,6/10/0002
54,H13820066,01/02/0002,22/03/0002,4/11/0002
55,H13820071,01/02/0002,22/03/0002,6/6/0002
56,H13820076,01/02/0002,22/03/0002,6/8/0002
57,H13820081,01/02/0002,22/03/0002,6/4/0002
58,H13820086,01/02/0002,22/03/0002,6/1/0002
59,H13820091,01/02/0002,22/03/0002,7/2/0002
60,H13820096,01/02/0002,22/03/0002,4/2/0002
61,H13820101,01/02/0002,22/03/0002,4/1/0002
62,H13820106,01/02/0002,22/03/0002,5/11/0002
63,H13820111,01/02/0002,22/03/0002,6/13/0002
