DATE,MANDAY_HT,MANHOUR_HT,MANDAY_MT,MANHOUR_MT,BDPOCDISCIPLINE
3/1/2022,4,40,1,10,DECK
3/1/2022,7,70,2,20,E&I
3/1/2022,4,40,1,10,MECH
3/1/2022,11,110,1,10,PROD
3/1/2022,2,20,0,0,RES
3/2/2022,4,40,1,10,DECK
3/2/2022,7,70,2,20,E&I
3/2/2022,4,40,1,10,MECH
3/2/2022,11,110,1,10,PROD
3/2/2022,2,20,0,0,RES
3/3/2022,4,40,1,10,DECK
3/3/2022,7,70,1,10,E&I
3/3/2022,3,30,1,10,MECH
3/3/2022,12,120,1,10,PROD
3/3/2022,2,20,0,0,RES
3/4/2022,4,40,1,10,DECK
3/4/2022,7,70,1,10,E&I
3/4/2022,3,30,1,10,MECH
3/4/2022,12,120,1,10,PROD
3/4/2022,2,20,0,0,RES
3/5/2022,4,40,1,10,DECK
3/5/2022,7,70,1,10,E&I
3/5/2022,3,30,1,10,MECH
3/5/2022,12,120,1,10,PROD
3/5/2022,2,20,0,0,RES
3/6/2022,4,40,1,10,DECK
3/6/2022,7,70,1,10,E&I
3/6/2022,3,30,1,10,MECH
3/6/2022,12,120,1,10,PROD
3/6/2022,2,20,0,0,RES
3/7/2022,4,40,1,10,DECK
3/7/2022,7,70,1,10,E&I
3/7/2022,3,30,1,10,MECH
3/7/2022,12,120,1,10,PROD
3/7/2022,2,20,0,0,RES
3/8/2022,4,40,1,10,DECK
3/8/2022,7,70,1,10,E&I
3/8/2022,3,30,1,10,MECH
3/8/2022,12,120,1,10,PROD
3/8/2022,2,20,0,0,RES
3/9/2022,4,40,1,10,DECK
3/9/2022,7,70,1,10,E&I
3/9/2022,3,30,1,10,MECH
3/9/2022,12,120,1,10,PROD
3/9/2022,2,20,0,0,RES
3/10/2022,4,40,1,10,DECK
3/10/2022,6,60,1,10,E&I
3/10/2022,4,40,1,10,MECH
3/10/2022,11,110,2,20,PROD
3/10/2022,2,20,0,0,RES
3/11/2022,4,40,1,10,DECK
3/11/2022,6,60,1,10,E&I
3/11/2022,4,40,1,10,MECH
3/11/2022,11,110,2,20,PROD
3/11/2022,2,20,0,0,RES
3/12/2022,4,40,1,10,DECK
3/12/2022,6,60,1,10,E&I
3/12/2022,4,40,1,10,MECH
3/12/2022,11,110,2,20,PROD
3/12/2022,2,20,0,0,RES
3/13/2022,4,40,1,10,DECK
3/13/2022,6,60,1,10,E&I
3/13/2022,3,30,1,10,MECH
3/13/2022,11,110,2,20,PROD
3/13/2022,2,20,0,0,RES
3/14/2022,4,40,1,10,DECK
3/14/2022,6,60,1,10,E&I
3/14/2022,3,30,1,10,MECH
3/14/2022,11,110,2,20,PROD
3/14/2022,2,20,0,0,RES
3/15/2022,4,40,1,10,DECK
3/15/2022,6,60,1,10,E&I
3/15/2022,3,30,1,10,MECH
3/15/2022,11,110,2,20,PROD
3/15/2022,2,20,0,0,RES
3/16/2022,4,40,1,10,DECK
3/16/2022,6,60,1,10,E&I
3/16/2022,3,30,1,10,MECH
3/16/2022,11,110,2,20,PROD
3/16/2022,2,20,0,0,RES
3/17/2022,5,50,1,10,DECK
3/17/2022,7,70,1,10,E&I
3/17/2022,4,40,1,10,MECH
3/17/2022,13,130,2,20,PROD
3/17/2022,2,20,0,0,RES
3/18/2022,5,50,1,10,DECK
3/18/2022,7,70,1,10,E&I
3/18/2022,4,40,1,10,MECH
3/18/2022,13,130,2,20,PROD
3/18/2022,2,20,0,0,RES
3/19/2022,5,50,1,10,DECK
3/19/2022,7,70,1,10,E&I
3/19/2022,4,40,1,10,MECH
3/19/2022,13,130,2,20,PROD
3/19/2022,2,20,0,0,RES
3/20/2022,5,50,1,10,DECK
3/20/2022,7,70,1,10,E&I
3/20/2022,4,40,1,10,MECH
3/20/2022,13,130,2,20,PROD
3/20/2022,2,20,0,0,RES
3/21/2022,5,50,1,10,DECK
3/21/2022,7,70,1,10,E&I
3/21/2022,4,40,1,10,MECH
3/21/2022,13,130,2,20,PROD
3/21/2022,2,20,0,0,RES
3/22/2022,5,50,1,10,DECK
3/22/2022,7,70,1,10,E&I
3/22/2022,4,40,1,10,MECH
3/22/2022,13,130,2,20,PROD
3/22/2022,2,20,0,0,RES
3/23/2022,5,50,1,10,DECK
3/23/2022,7,70,1,10,E&I
3/23/2022,4,40,1,10,MECH
3/23/2022,13,130,2,20,PROD
3/23/2022,2,20,0,0,RES
3/24/2022,5,50,1,10,DECK
3/24/2022,7,70,1,10,E&I
3/24/2022,6,60,1,10,MECH
3/24/2022,12,120,2,20,PROD
3/24/2022,2,20,0,0,RES
3/25/2022,5,50,1,10,DECK
3/25/2022,7,70,1,10,E&I
3/25/2022,6,60,1,10,MECH
3/25/2022,12,120,2,20,PROD
3/25/2022,2,20,0,0,RES
3/26/2022,5,50,1,10,DECK
3/26/2022,7,70,1,10,E&I
3/26/2022,6,60,1,10,MECH
3/26/2022,12,120,2,20,PROD
3/26/2022,2,20,0,0,RES
3/27/2022,5,50,1,10,DECK
3/27/2022,7,70,1,10,E&I
3/27/2022,6,60,1,10,MECH
3/27/2022,12,120,2,20,PROD
3/27/2022,2,20,0,0,RES
3/28/2022,5,50,1,10,DECK
3/28/2022,7,70,1,10,E&I
3/28/2022,6,60,1,10,MECH
3/28/2022,12,120,2,20,PROD
3/28/2022,2,20,0,0,RES
3/29/2022,5,50,1,10,DECK
3/29/2022,7,70,1,10,E&I
3/29/2022,6,60,1,10,MECH
3/29/2022,12,120,2,20,PROD
3/29/2022,2,20,0,0,RES
3/30/2022,5,50,1,10,DECK
3/30/2022,7,70,1,10,E&I
3/30/2022,6,60,1,10,MECH
3/30/2022,12,120,2,20,PROD
3/30/2022,2,20,0,0,RES
3/31/2022,5,50,1,10,DECK
3/31/2022,6,60,1,10,E&I
3/31/2022,5,50,1,10,MECH
3/31/2022,13,130,2,20,PROD
3/31/2022,2,20,0,0,RES
4/1/2022,5,50,1,10,DECK
